action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1035127,[],CHEMBL660921,Blockade of Na+ current in frog oocytes expressing human cardiac sodium channel (HH1),B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1ccc([C@@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,,,CHEMBL1128716,J Med Chem,1995,,CHEMBL3350235,,CHEMBL3545946,,0,http://www.openphacts.org/units/Nanomolar,154550,>,1,1,>,,IC50,nM,,30000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,30
,,1052122,[],CHEMBL660921,Blockade of Na+ current in frog oocytes expressing human cardiac sodium channel (HH1),B,,,BAO_0000190,BAO_0000219,cell-based format,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128716,J Med Chem,1995,,CHEMBL473,DOFETILIDE,CHEMBL473,,0,http://www.openphacts.org/units/Nanomolar,154544,>,1,1,>,,IC50,nM,,300000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,300
,Not Determined,1104731,[],CHEMBL660923,Inhibition of sodium channel blockade in CHO cells expressing human cardiac (hHI) sodium channel; Not tested,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(C(=O)NC(=N)N(C)c2cccc(I)c2)cc1,,,CHEMBL1134151,Bioorg Med Chem Lett,2001,,CHEMBL108407,,CHEMBL108407,,0,http://www.openphacts.org/units/Nanomolar,200945,,1,0,,,IC50,nM,,,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,
,,1108159,[],CHEMBL660922,Inhibition of sodium channel blockade in CHO cells expressing human cardiac (hHI) sodium channel,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCC/N=C(/N)NC(=O)c1ccc(C)cc1,,,CHEMBL1134151,Bioorg Med Chem Lett,2001,"{'bei': '21.63', 'le': '0.41', 'lle': '3.21', 'sei': '7.48'}",CHEMBL432963,,CHEMBL432963,5.05,0,http://www.openphacts.org/units/Nanomolar,200934,=,1,1,=,,IC50,nM,,9000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,9
,,1110568,[],CHEMBL660922,Inhibition of sodium channel blockade in CHO cells expressing human cardiac (hHI) sodium channel,B,,,BAO_0000190,BAO_0000219,cell-based format,N=C(NCCCCc1ccccc1)NC(=O)c1cccc(Cl)c1Cl,,,CHEMBL1134151,Bioorg Med Chem Lett,2001,"{'bei': '15.28', 'le': '0.32', 'lle': '1.30', 'sei': '8.57'}",CHEMBL109012,,CHEMBL109012,5.57,0,http://www.openphacts.org/units/Nanomolar,200951,=,1,1,=,,IC50,nM,,2710,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,2.71
,,1115437,[],CHEMBL660922,Inhibition of sodium channel blockade in CHO cells expressing human cardiac (hHI) sodium channel,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCOc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,,,CHEMBL1134151,Bioorg Med Chem Lett,2001,"{'bei': '17.01', 'le': '0.32', 'lle': '2.11', 'sei': '8.42'}",CHEMBL108347,,CHEMBL108347,6.25,0,http://www.openphacts.org/units/Nanomolar,200963,=,1,1,=,,IC50,nM,,560,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.56
,,1884755,[],CHEMBL905110,Inhibition of human heart sodium channel Nav1.5 by patch-clamp method,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc(CCO[C@@H]2CCCC[C@H]2N2CCOCC2)cc1Cl,,,CHEMBL1143695,J Med Chem,2007,"{'bei': '13.46', 'le': '0.29', 'lle': '0.62', 'sei': '22.23'}",CHEMBL387935,,CHEMBL387935,4.82,0,http://www.openphacts.org/units/Nanomolar,638975,=,1,1,=,,IC50,nM,,15000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,15
,,2067396,[],CHEMBL943783,Inhibition of human Nav1.5 channel at 1 uM,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)c2ccc(-c3ccc(C#N)cc3)o2)c1,,,CHEMBL1140726,J Med Chem,2008,,CHEMBL401258,,CHEMBL401258,,0,http://www.openphacts.org/units/Nanomolar,685872,>,1,1,>,,IC50,nM,,2000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,2
,,2629286,[],CHEMBL1001516,Inhibition of Voltage-gated sodium channel subunit alpha Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1CC2(CCN(C(=O)NC3CCc4ccccc4C3)CC2)Oc2ccccc21,,,CHEMBL1137005,Bioorg Med Chem Lett,2009,"{'bei': '15.37', 'le': '0.28', 'lle': '2.25', 'sei': '10.23'}",CHEMBL495601,,CHEMBL495601,6,0,http://www.openphacts.org/units/Nanomolar,784783,=,1,1,=,,IC50,nM,,1000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,1
,,2629444,[],CHEMBL1001516,Inhibition of Voltage-gated sodium channel subunit alpha Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2ccccc21,,,CHEMBL1137005,Bioorg Med Chem Lett,2009,,CHEMBL496189,,CHEMBL496189,,0,http://www.openphacts.org/units/Nanomolar,784673,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
