molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL2147305,,COc1ncc(-c2c(C)ccc(F)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,794.33,6.099999035
CHEMBL2147306,,COc1ncc(-c2c(C)ccc(F)c2CCNC(=O)c2ccc(OCC(F)(F)F)nc2)cn1,2511.89,5.599999383
CHEMBL2147224,,COc1ncc(-c2cccc(OC)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,6309.57,5.200000237
CHEMBL2147304,,COc1ncc(-c2cccc(OC(F)F)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,7943.28,5.100000128
CHEMBL2147226,,COc1ncc(-c2cccc(C#N)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,31622.78,4.499999953
CHEMBL2147225,,COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(-c2cnc(OC)nc2)c1,19952.62,4.700000069
CHEMBL2147307,,COc1cnc(-c2c(C)ccc(F)c2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,1000,6
CHEMBL2147308,,COc1cnc(-c2c(F)ccc(F)c2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,1584.89,5.800000875
CHEMBL2147317,,COc1cnc(-c2cccc(F)c2C(F)(F)CNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,10000,5
CHEMBL2147212,,O=C(NCCc1ccccc1-c1cnc(OC(F)F)cn1)c1ccc(OCCC(F)(F)F)nc1,6309.57,5.200000237
CHEMBL4470763,,CC(C)COc1ncc(-c2cc(F)c(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,30000,4.522878745
CHEMBL4470095,,CC(C)COc1ncc(-c2c(F)cc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,5200,5.283996656
CHEMBL4443414,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,23000,4.638272164
CHEMBL4444511,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2Cl)cc1Cl,9500,5.022276395
CHEMBL4460250,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)c(F)c2)cc1Cl,18000,4.744727495
CHEMBL4474441,,COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(OCC(C)C)c(Cl)c1,30000,4.522878745
CHEMBL4539119,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2OC(F)(F)F)cc1Cl,3700,5.431798276
CHEMBL4459478,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C(F)(F)F)cc1Cl,3100,5.508638306
CHEMBL4467379,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C#N)cc1Cl,24000,4.619788758
CHEMBL4445360,,CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2)cc1Cl,32000,4.494850022
CHEMBL4445237,,CS(=O)(=O)NC(=O)c1cc(F)c(-c2ccc(Cl)c(Cl)c2)cc1F,42000,4.37675071
CHEMBL3968947,,O=C(O)CCCOc1ccc(-c2cc(OC(F)(F)F)ccc2Cl)cc1,17430,4.758702613
CHEMBL4559824,,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)cc1,42000,4.37675071
CHEMBL4071906,,Nc1cccnc1-c1cccc(C(=O)Nc2cccc(C(F)(F)F)c2-c2cccnc2)c1,3900,5.408935393
CHEMBL4100413,,O=C(Nc1cccc(C(F)(F)F)c1-c1cccnc1)c1cccc(-c2ncccc2OC(F)F)c1,220,6.657577319
CHEMBL4098932,,COc1ncccc1-c1c(NC(=O)c2cccc(-c3ccccn3)c2)cccc1C(F)(F)F,2400,5.619788758
CHEMBL4100514,,O=C(Nc1cccc(C(F)(F)F)c1-c1cccnc1)c1cccc(-c2ccccn2)c1,1100,5.958607315
CHEMBL4079509,,O=C(Nc1cccc(C(F)(F)F)c1-c1ccccn1)c1cccc(-c2ncccc2OC(F)F)c1,18,7.744727495
CHEMBL4076874,,O=C(Nc1cccc(C(F)(F)F)c1N1CCOCC1)c1cccc(-c2ccccn2)c1,400,6.397940009
CHEMBL4080898,,O=C(Nc1cccc(C(F)(F)F)c1-c1cccnn1)c1cccc(-c2ncccc2C(F)(F)F)c1,6800,5.167491087
CHEMBL5084930,,CCN=C(N)NC(=O)Nc1c(CC)cc(C(=O)NC(C)C)cc1CC,22400,4.649751982
CHEMBL5075910,,CCN=C(N)NC(=O)Nc1c(CC)cc(S(=O)(=O)NCC)cc1CC,30000,4.522878745
CHEMBL2018453,,Cc1ccc(O)c(C)c1OCC(C)N,30000,4.522878745
CHEMBL1200606,,Cc1cccc(C)c1OCC(C)N,7800,5.107905397
CHEMBL448416,,CN=C(N)NC(=O)Nc1c(C)cccc1C,30000,4.522878745
CHEMBL5082711,,CCN=C(N)NC(=O)Nc1c(CC)cccc1CC,3750,5.425968732
CHEMBL79,,CCN(CC)CC(=O)Nc1c(C)cccc1C,108000,3.966576245
CHEMBL698,,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,650,6.187086643
