molecule_chembl_id,smiles,mol,standard_value,mw,logp,num_rotable_bounds,hbd,hba,tpsa,class,pic50
CHEMBL482845,O=C1CC2(CCN(C(=O)NC3CCc4ccccc43)CC2)Oc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000022792700F20>,10000,376.456,3.8835,1,1,3,58.64,inactive,5
CHEMBL552196,Cc1c(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)o[nH]c1=O,<rdkit.Chem.rdchem.Mol object at 0x0000022792701070>,10000,341.411,2.72142,3,2,3,78.34,inactive,5
CHEMBL559531,O=C(O)c1ccc(-c2noc(C3CCN(C(=O)NC4CC4c4ccccc4)CC3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000022792701310>,10000,432.48,3.8799,5,2,5,108.56,inactive,5
CHEMBL551921,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000227927012A0>,10000,439.519,4.7299,4,1,5,84.15,inactive,5
CHEMBL569185,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000022792700EB0>,30000,419.503,2.1894,8,1,5,88.18,inactive,4.522878745
CHEMBL1079140,CN(C)CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3920>,10000,385.939,4.8574,5,1,2,35.58,inactive,5
CHEMBL1078232,O=C(CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3E60>,10000,455.986,4.5447,5,1,3,61.88,inactive,5
CHEMBL1797413,Cc1cccc(C)c1-c1noc(C)c1CC(=O)NCc1cccc(OCCOCC(F)(F)F)n1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3450>,12022.64,477.483,4.47846,10,1,6,86.48,inactive,4.920000157
CHEMBL1797412,Cc1onc(-c2c(Cl)cccc2Cl)c1CC(=O)NCc1ccc(-n2cccn2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B27A0>,33113.11,441.318,5.00142,6,1,5,72.95,inactive,4.480000028
CHEMBL1797410,Cc1onc(-c2c(Cl)cccc2Cl)c1CC(=O)NCc1ccc(OCC(F)(F)F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3A00>,33113.11,474.266,5.15182,7,1,5,77.25,inactive,4.480000028
CHEMBL1797408,Cc1onc(-c2c(Cl)cncc2Cl)c1NC(=O)NCc1ccc(OC(C)C)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3530>,33113.11,436.299,4.85572,6,2,6,102.17,inactive,4.480000028
CHEMBL1797388,Cc1onc(-c2c(Cl)cccc2Cl)c1NC(=O)OCc1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000227922B37D0>,8709.64,411.672,6.35892,4,1,4,64.36,inactive,5.059999796
CHEMBL1797387,Cc1onc(-c2c(Cl)cccc2Cl)c1NC(=O)OCc1c(F)cccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000227922B2810>,5495.41,429.662,6.49802,4,1,4,64.36,inactive,5.2599999
CHEMBL1958462,CCCCCCC[C@@](O)(C(N)=O)c1cccc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B35A0>,4780,283.799,3.3734,8,2,2,63.32,active,5.320572103
CHEMBL2012026,Nc1ccnc(Nc2ccc(Oc3cccc(Cl)c3)cc2)n1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3610>,1700,312.76,4.2481,4,2,5,73.06,active,5.769551079
CHEMBL2012178,Cc1c(C)n(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3CA0>,120,433.581,4.59634,6,0,7,56.07,active,6.920818754
CHEMBL2012245,Cc1nc(OC2CCN(Cc3cscn3)CC2)c2ccn(Cc3ccccc3)c2n1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B29D0>,350,419.554,4.28792,6,0,7,56.07,active,6.455931956
CHEMBL2012287,c1ccc(Cn2ccc3c(OC4CCN(Cc5ccccn5)CC4)ncnc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B34C0>,160,399.498,3.918,6,0,6,56.07,active,6.795880017
CHEMBL2012298,Fc1ccccc1Cn1ccc2c(OC3CCN(Cc4ccccn4)CC3)ncnc21,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3990>,30,417.488,4.0571,6,0,6,56.07,active,7.522878745
CHEMBL2069413,O=C(N[C@@H]1COc2cccc(-c3ccc(CO)nc3)c2C1)c1ccc(OCCOCC(F)(F)F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3A70>,7943.28,503.477,3.3271,9,2,7,102.8,inactive,5.100000128
CHEMBL2147210,COc1ncc(-c2ccccc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3BC0>,12589.25,446.429,3.8509,9,1,6,86.23,inactive,4.900000142
CHEMBL2147211,COc1cnc(-c2ccccc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3D80>,6309.57,446.429,3.8509,9,1,6,86.23,inactive,5.200000237
CHEMBL2147212,O=C(NCCc1ccccc1-c1cnc(OC(F)F)cn1)c1ccc(OCCC(F)(F)F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3F40>,6309.57,482.409,4.4437,10,1,6,86.23,inactive,5.200000237
CHEMBL2147311,COc1ncc(-c2cccnc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3760>,31622.78,447.417,3.2459,9,1,7,99.12,inactive,4.499999953
CHEMBL2147312,COc1ncc(-c2ccc(C)nc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3680>,31622.78,461.444,3.55432,9,1,7,99.12,inactive,4.499999953
CHEMBL2164043,O=C(NCc1ccc(F)c(OC(F)(F)F)c1)c1c2ccccc2c(O)n1CCc1ncc(F)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B2A40>,17000,492.404,4.4864,7,2,6,89.27,inactive,4.769551079
CHEMBL2164041,O=C(NCc1ccc(OC(F)(F)F)cc1)c1c2cccc(O)c2c(O)n1CCc1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B2B90>,940,471.435,4.5188,7,3,6,96.61,active,6.026872146
CHEMBL2164368,O=C(NCc1ccc(OC(F)(F)F)cc1)c1c2c(F)cccc2c(O)n1CCc1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B25E0>,810,473.426,4.9523,7,2,5,76.38,active,6.091514981
CHEMBL2164358,O=C(NCc1ccc(OC(F)(F)F)cc1)c1c2ccccc2c(O)n1CCOc1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3DF0>,9700,471.435,4.6495,8,2,6,85.61,inactive,5.013228266
CHEMBL2164047,O=C(NCc1ccc(OC(F)(F)F)cc1)c1c2ccccc2c(O)n1CCc1ccc(F)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B3AE0>,1200,473.426,4.9523,7,2,5,76.38,active,5.920818754
CHEMBL2164395,O=C(NCc1ccc(OCC(F)(F)F)nc1)c1c2ccccc2c(O)n1CCc1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x00000227922B2880>,33000,470.451,4.2507,8,2,6,89.27,inactive,4.48148606
CHEMBL2164393,CC(NC(=O)c1c2ccccc2c(O)n1CCc1ccccn1)c1ccc(OCC(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000227928B4040>,3700,483.49,5.4167,8,2,5,76.38,active,5.431798276
